note,start_time,end_time,status_id,created_at,updated_at,donor_id
,2025-07-17 17:30:07.992,2025-07-17 19:30:07.992,4,2025-07-17 17:15:10.753328,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-16 16:30:36.542,2025-07-16 19:30:36.542,4,2025-07-16 16:26:39.520198,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
nota 8.060,2025-05-19 14:00:00,2025-05-19 16:30:00,4,2025-05-19 00:00:00,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-01 17:00:27.208,2025-07-01 19:30:27.208,4,2025-07-01 17:14:30.804874,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
" notas = 8.385 - 8.386 - 8.387 - 8.388",2025-07-02 18:30:42.359,2025-07-02 19:00:42.359,4,2025-07-02 18:34:45.661627,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-02 15:00:46.206,2025-07-02 19:00:46.206,4,2025-07-02 19:01:51.371886,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-03 16:30:25.949,2025-07-03 19:00:25.949,4,2025-07-03 16:18:27.636475,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-04 18:00:25.399,2025-07-04 19:30:25.399,4,2025-07-04 16:25:27.736592,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-07 13:00:32.425,2025-07-07 21:00:32.425,4,2025-07-07 20:18:35.33469,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-08 17:00:02.745,2025-07-08 19:30:02.745,4,2025-07-08 17:21:07.263864,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-09 15:00:14.52,2025-07-09 19:30:14.52,4,2025-07-09 15:52:18.064417,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-10 16:00:28.85,2025-07-10 19:30:28.85,4,2025-07-10 16:02:33.795984,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-12 15:00:08.962,2025-07-12 19:00:08.962,4,2025-07-12 15:01:11.58949,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-11 15:00:05.958,2025-07-11 19:30:05.958,4,2025-07-11 14:43:09.752782,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-19 17:00:52.767,2025-07-19 19:30:52.767,4,2025-07-19 16:40:54.776205,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
"notas= 8.565 E 8.566
",2025-07-23 16:00:11.405,2025-07-23 18:00:11.405,4,2025-07-23 15:43:14.131958,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-07-21 19:00:19.795,2025-07-21 21:00:19.795,4,2025-07-21 18:47:21.980521,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
